op,avg_time,avg_size,time_stddev,count
OpAdd,144,0,58,3001
OpAddAssign,383,0,381,999
OpArrayLit,599,0,762,7000
OpAssign,347,0,298,29018
OpBand,133,0,24,1001
OpBandAssign,321,0,357,999
OpBandn,158,0,326,1001
OpBandnAssign,287,0,121,999
OpBinary1,136,0,112,5002
OpBody,326,0,8809,135994
OpBor,158,0,335,1001
OpBorAssign,305,0,429,999
OpCall,1132,0,2595,27000
OpCallDeferNativeBody,248,0,190,1000
OpCallNativeBody,1162,0,1803,9001
OpCompositeLit,298,0,897,13996
OpConvert,287,0,152,8008
OpDec,326,0,251,1999
OpDefer,445,0,936,4000
OpDefine,614,0,4790,42989
OpEql,224,0,105,2001
OpEval,161,0,169,338077
OpExec,149,0,135,29997
OpForLoop,180,0,101,6000
OpFuncLit,630,0,1410,3001
OpFuncType,408,0,451,3001
OpGeq,183,0,87,1001
OpGtr,161,0,252,2001
OpHalt,90,0,291,35997
OpIfCond,313,0,485,1999
OpInc,272,0,247,3000
OpIndex1,363,0,370,6001
OpIndex2,525,0,451,1000
OpLand,144,0,38,2001
OpLeq,166,0,28,1001
OpLor,155,0,39,1001
OpLss,141,0,258,6004
OpMapLit,1476,0,1070,1000
OpMapType,368,0,2012,999
OpMul,138,0,108,1001
OpMulAssign,287,0,50,999
OpNeq,154,0,35,1001
OpPanic2,130,0,18,1000
OpPopBlock,101,0,182,24996
OpPopFrameAndReset,121,0,95,4999
OpPopResults,95,0,164,7001
OpPopValue,89,0,71,5002
OpPrecall,718,0,45257,35008
OpQuo,342,0,628,1001
OpQuoAssign,540,0,479,999
OpRangeIter,564,0,843,10000
OpRangeIterArrayPtr,194,0,253,2000
OpRangeIterMap,240,0,207,2000
OpRangeIterString,246,0,258,2000
OpRef,662,0,1335,2000
OpRem,268,0,210,1001
OpRemAssign,457,0,224,999
OpReturn,173,0,286,8001
OpReturnCallDefers,727,0,1353,8003
OpReturnFromBlock,234,0,426,21999
OpReturnToBlock,210,0,499,1000
OpSelector,413,0,562,1000
OpShl,167,0,34,1001
OpShlAssign,5875,0,172397,999
OpShr,136,0,31,1001
OpShrAssign,349,0,556,999
OpSlice,753,0,439,1000
OpSliceLit,2002,0,46736,1999
OpSliceLit2,1402,0,1554,999
OpStar,269,0,207,2000
OpStaticTypeOf,245,0,296,17998
OpStructLit,1048,0,1406,2998
OpSub,146,0,31,1001
OpSubAssign,370,0,537,999
OpSwitchClause,206,0,186,2997
OpSwitchClauseCase,241,0,41,1998
OpTypeAssert1,1427,0,4462,1000
OpTypeAssert2,1007,0,1158,999
OpTypeDecl,454,0,491,999
OpTypeSwitch,282,0,159,4000
OpUneg,226,0,31,1001
OpUnot,110,0,19,1001
OpUpos,95,0,13,1001
OpUxor,155,0,23,1001
OpValueDecl,463,0,421,6999
OpXor,154,0,32,1001
OpXorAssign,353,0,358,999
